x,y,Red,Green,NIR,RedEdge,MCARI,RDVI,SAVI,MSAVI,NDVI
2,358,0.1331877729030452,0.11370882038494473,0.5132837406161523,0.16328708641887554,1.1567611885616744,0.4727322175207444,0.4972988555570086,0.49699698833488104,0.5879456078425478
250,346,0.6080786025163621,0.4867162592178008,0.5026567480568117,0.18249733187991973,-0.08977889029279842,-0.10002840223362035,-0.09817365308358598,-0.10014161735513594,0.0949108946000142
626,301,0.30240174667330755,0.23910733258516415,0.24017003184109822,0.16862326571361003,-0.04959212073488724,-0.08448491991019713,-0.08953501850598507,-0.07977820739853891,0.11469555638641755
565,27,0.10043668120557507,0.1232731136883513,0.04994686502890096,0.11739594448415888,-0.017813677745742693,-0.13019346752161973,-0.11644445978489427,-0.08520759515805865,0.33571797353760807
439,30,0.07860262007392832,0.2518597236563729,0.10414452708153817,0.13020277479152167,0.07297550954628787,0.05974700764493675,0.05611492058917698,0.043870672926527354,0.13975873600797298
346,190,0.09606986897924572,0.12114771517648316,0.08820403824252722,0.045891141934716655,-0.0011724107822851978,-0.018323182706031404,-0.017242472972182087,-0.013223973277096901,0.04268322235189469
2,358,0.1331877729030452,0.11370882038494473,0.5132837406161523,0.16328708641887554,1.1567611885616744,0.4727322175207444,0.4972988555570086,0.49699698833488104,0.5879456078425478
250,346,0.6080786025163621,0.4867162592178008,0.5026567480568117,0.18249733187991973,-0.08977889029279842,-0.10002840223362035,-0.09817365308358598,-0.10014161735513594,0.0949108946000142
626,301,0.30240174667330755,0.23910733258516415,0.24017003184109822,0.16862326571361003,-0.04959212073488724,-0.08448491991019713,-0.08953501850598507,-0.07977820739853891,0.11469555638641755
565,27,0.10043668120557507,0.1232731136883513,0.04994686502890096,0.11739594448415888,-0.017813677745742693,-0.13019346752161973,-0.11644445978489427,-0.08520759515805865,0.33571797353760807
439,30,0.07860262007392832,0.2518597236563729,0.10414452708153817,0.13020277479152167,0.07297550954628787,0.05974700764493675,0.05611492058917698,0.043870672926527354,0.13975873600797298
346,190,0.09606986897924572,0.12114771517648316,0.08820403824252722,0.045891141934716655,-0.0011724107822851978,-0.018323182706031404,-0.017242472972182087,-0.013223973277096901,0.04268322235189469
2,358,0.1331877729030452,0.11370882038494473,0.5132837406161523,0.16328708641887554,1.1567611885616744,0.4727322175207444,0.4972988555570086,0.49699698833488104,0.5879456078425478
250,346,0.6080786025163621,0.4867162592178008,0.5026567480568117,0.18249733187991973,-0.08977889029279842,-0.10002840223362035,-0.09817365308358598,-0.10014161735513594,0.0949108946000142
626,301,0.30240174667330755,0.23910733258516415,0.24017003184109822,0.16862326571361003,-0.04959212073488724,-0.08448491991019713,-0.08953501850598507,-0.07977820739853891,0.11469555638641755
565,27,0.10043668120557507,0.1232731136883513,0.04994686502890096,0.11739594448415888,-0.017813677745742693,-0.13019346752161973,-0.11644445978489427,-0.08520759515805865,0.33571797353760807
