x,y,Red,Green,NIR,RedEdge,MCARI,RDVI,SAVI,MSAVI,NDVI
466,45,0.05240174671595221,0.14240170029516444,0.10201912856967003,0.16008537884203486,0.11230080018897223,0.12626029020896815,0.1137264108983756,0.08899645424534453,0.3212918480914928
532,586,0.09497816592266338,0.10095642931373598,0.06695005312384596,0.12486659549678718,-0.014961211114027038,-0.06964969480570805,-0.06351374202967044,-0.0474509511163852,0.17307906284323904
580,559,0.2085152838072265,0.2210414452342851,0.20403825713934007,0.2145144076483267,-0.0010532267532658097,-0.00697018015160967,-0.0073589791377157284,-0.006330601698338878,0.010851719913820753
451,479,0.36353711784191844,0.29649309240560356,0.2826780020784607,0.08644610457469881,-0.060724045716465655,-0.10058590104049651,-0.10581576225419087,-0.09726694113736556,0.12512531554861137
596,424,0.1965065501848208,0.17003188094945007,0.1604675876460435,0.16115261470098174,-0.02786601110379731,-0.06031810355782375,-0.0630798442552656,-0.05248075111691908,0.10095392923952168
313,531,0.7609170304378894,0.5377258235026359,0.6312433580248333,0.2102454642125391,-0.12308946778151898,-0.1099019929436019,-0.10279755358899137,-0.10934475123786291,0.09314496152469488
245,573,0.4989082968581283,0.36450584478538356,0.36238044627351546,0.17182497329045074,-0.09885583715015543,-0.1471107416341342,-0.15043853803710197,-0.14596263360350137,0.15851394237945401
608,518,0.26310043663634336,0.40382571725494393,0.2624867162157135,0.28175026676198134,0.027588525909954396,-0.0008465316614437527,-0.0008976027200452314,-0.0008044673043543504,0.0011676607554679077
543,393,0.30786026195621924,0.303931987197142,0.14133900103923036,0.22518676623779568,-0.0615187780539832,-0.24845361244568775,-0.2631473243229904,-0.22142296806260886,0.3706986170946325
596,367,0.41048034927495897,0.38150903288032856,0.48459086070593266,0.1109925293304775,0.063150748575521,0.07833368733935744,0.0796840795160513,0.07839102255438612,0.08279752413882853
542,272,0.2347161571652026,0.1891604675562632,0.3315621678514276,0.09178228386943331,0.09656983226569966,0.12869535608940919,0.13623800786727674,0.12601015795619486,0.17101888346877986
566,227,0.15829694320443896,0.3485653559463726,0.2922422953818673,0.09498399144627401,0.2680646276913286,0.1995521914497232,0.21137045005343408,0.1924446960032028,0.29729347332812955
98,448,0.38427947591698286,0.286928799102197,0.4091392135346142,0.14834578439361895,0.00044465033677971175,0.02790887886743475,0.028830030975784075,0.027768317224611927,0.031332022975480885
